Id;Name;Number;JobTitle;PhoneNumber;EmailAddress;Description;CustomerId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
053f016f-bff9-422d-b6c7-b2aa03fbf042;Jason Johnson;004820250324CC;Network Administrator;+1-909-532-1198;jason.johnson@gmail.com;;5ffbbab0-28db-48c5-b8ea-b2aa03fbef96;False;2025-03-24 18:34:02;;;
0c2e0b72-5ec0-4c1f-97bd-b2aa03fbf036;Christopher Taylor;003420250324CC;Business Development Executive;+1-238-747-9370;christopher.taylor@gmail.com;;34a1d92c-892f-4c91-834c-b2aa03fbef96;False;2025-03-24 18:34:02;;;
0c6fdea1-91d9-4fc4-b66b-b2aa03fbf028;Samantha Martin;002120250324CC;HR Specialist;+1-240-798-1018;samantha.martin@gmail.com;;de12914f-1419-4999-8e39-b2aa03fbef96;False;2025-03-24 18:34:02;;;
102a7400-b96f-4355-b4a8-b2aa03fbf024;Ashley Martinez;001720250324CC;Software Developer;+1-351-158-7587;ashley.martinez@gmail.com;;f4548d75-cac1-40c7-827f-b2aa03fbef96;False;2025-03-24 18:34:02;;;
11ce2886-86c5-4e71-87d8-b2aa03fbf048;Ashley Miller;005420250324CC;IT Consultant;+1-801-270-4875;ashley.miller@gmail.com;;1682bf17-d742-4e15-bb99-b2aa03fbef96;False;2025-03-24 18:34:02;;;
128ebc22-a8fe-4c38-a376-b2aa03fbf00d;Jessica Taylor;000220250324CC;Software Developer;+1-532-795-9705;jessica.taylor@gmail.com;;1f407fb8-e0da-4c34-bb21-b2aa03fbef96;False;2025-03-24 18:34:02;;;
13cfcd99-f196-40da-a086-b2aa03fbf00b;Samantha Anderson;000120250324CC;Sales Manager;+1-524-520-6627;samantha.anderson@gmail.com;;1f407fb8-e0da-4c34-bb21-b2aa03fbef96;False;2025-03-24 18:34:02;;;
1f06e0e3-156d-4b85-9e63-b2aa03fbf02c;Kevin Thomas;002420250324CC;Marketing Coordinator;+1-489-919-6046;kevin.thomas@gmail.com;;77d66439-6e30-45af-ad5f-b2aa03fbef96;False;2025-03-24 18:34:02;;;
200b0f7c-04a7-4eeb-a50f-b2aa03fbf03d;Nicholas Rodriguez;004220250324CC;Research Analyst;+1-969-209-9514;nicholas.rodriguez@gmail.com;;8da71739-d9c6-43a0-8224-b2aa03fbef96;False;2025-03-24 18:34:02;;;
2394c228-f1c6-4ce5-8f75-b2aa03fbf018;Kevin Lopez;000720250324CC;Sales Manager;+1-601-963-8719;kevin.lopez@gmail.com;;be7e8379-73dd-4a6d-a0fc-b2aa03fbef96;False;2025-03-24 18:34:02;;;
24397b17-2a41-4033-9c3b-b2aa03fbf039;Olivia Brown;003720250324CC;Marketing Coordinator;+1-682-708-1370;olivia.brown@gmail.com;;d2fe39c6-2662-404e-8661-b2aa03fbef96;False;2025-03-24 18:34:02;;;
