Id;Name;Number;JobTitle;PhoneNumber;EmailAddress;Description;VendorId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
025d8813-a184-40ed-a0f4-b2aa03fbf135;David Martin;004220250324VC;Vendor Success Manager;+1-115-315-2038;david.martin@gmail.com;;b7bc2338-619f-4414-a7f7-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
053060d6-1dd5-4e7f-8a47-b2aa03fbf116;Samantha Jones;002020250324VC;Chief Executive Officer;+1-579-806-5133;samantha.jones@gmail.com;;a8b9e999-d071-4491-a30c-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
0d34db80-ce8d-4145-8875-b2aa03fbf0fa;Samantha Hernandez;000120250324VC;Network Administrator;+1-994-846-2682;samantha.hernandez@gmail.com;;4e15dd7e-b03b-4fab-aed7-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
129c211f-a366-456e-b19a-b2aa03fbf143;Matthew Williams;005220250324VC;Sales Manager;+1-730-595-1467;matthew.williams@gmail.com;;440f4437-5c32-477c-a8dc-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
14de4b18-4b48-482f-a743-b2aa03fbf115;Alexander Taylor;001920250324VC;Product Manager;+1-878-332-6297;alexander.taylor@gmail.com;;a8b9e999-d071-4491-a30c-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
14f7da76-bc28-4c41-8eca-b2aa03fbf12f;Christopher Hernandez;003820250324VC;Operations Manager;+1-857-153-9710;christopher.hernandez@gmail.com;;a7a02c95-acc8-4542-b57c-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
177bcb34-aac1-46fd-acc2-b2aa03fbf11a;Stephanie Thompson;002320250324VC;Network Administrator;+1-990-198-4041;stephanie.thompson@gmail.com;;e6c33822-803a-41ef-ad2b-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
196ae468-b591-408f-a6b4-b2aa03fbf12a;Alexander Moore;003420250324VC;Research Analyst;+1-106-388-5764;alexander.moore@gmail.com;;90732d7d-cdf4-4833-86b7-b2aa03fbf0b4;False;2025-03-24 18:34:02;;;
22c9536c-13ed-4111-815d-b2aa03fbf125;Lauren Miller;003120250324VC;Operations Manager;+1-142-775-4386;lauren.miller@gmail.com;;85a35fa3-482f-4e1f-b2de-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
245ea494-1195-48d0-a9ea-b2aa03fbf132;Matthew Rodriguez;004020250324VC;Software Developer;+1-317-828-5011;matthew.rodriguez@gmail.com;;b7bc2338-619f-4414-a7f7-b2aa03fbf0b5;False;2025-03-24 18:34:02;;;
